"","Publication","Title","Tagline","Author","Category","City","Date"
"25","NYT","Waiting for Trump: Hats, Flags, Little Fear of the Virus","Supporters waiting to attend President Trump’s return to the campaign trail displayed their loyalty to him, though there were empty seats as the program started."," Katie Glueck and Astead W. Herndon","Politics","national","20-Jun"
"26","NYT","Trump Supporters Camp Out Ahead of Tulsa Rally, Despite Virus Risk","Supporters of President Trump lined up outside the BOK Center in Tulsa, Okla., two days ahead of his rally. The president and some of his supporters have shrugged off concerns that the event could spread the coronavirus."," The Associated Press","Politics","national","18-Jun"
"27","NYT",NA,NA,NA,NA,"national",NA
"28","NYT","What to Watch For at Trump’s Tulsa Campaign Rally","Will the thousands of Trump supporters wear masks? What time is the rally? How will President Trump talk about race? What protests will he face? Here’s what you need to know."," Annie Karni, Astead W. Herndon and Katie Glueck","Politics","national","20-Jun"
"29","NYT","Tulsa Officials Plead for Trump to Cancel Rally as Virus Spikes in Oklahoma","President Trump will hold his first campaign rally in months on Saturday in Oklahoma, where infections are rising, and officials there are pleading with him to cancel or hold it outdoors."," Noah Weiland","Politics","national","16-Jun"
"30","NYT","As the Virus Surges in South Florida, a Trump Resort Joins the Rush to Reopen","Miami-Dade County has been hit with about a quarter of the state’s cases. The Doral hotel and golf club there is taking steps to prevent infection, even as many visitors and some workers do not wear masks."," Eric Lipton, Neil Reisner, Steve Eder and Ben Protess","U.S.","national","23-Jun"
"31","NYT","The World Builds a Wall to Keep America Out","America has no monopoly on success."," Farhad Manjoo","Opinion","national","1-Jul"
"32","NYT","Federal Agency Halts Studies of Hydroxychloroquine, Drug Trump Promoted","The National Institutes of Health decided to stop one trial because the drug was unlikely to benefit patients, and another because not enough people enrolled."," Katie Thomas","Health","national","20-Jun"
"33","NYT","Ask Not What President Trump Can Do for You","His made-for-TV rallies can be matters of life and death."," Michelle Cottle","Opinion","national","15-Jun"
"34","NYT","Ask Not What President Trump Can Do for You","His made-for-TV rallies can be matters of life and death."," Michelle Cottle","Opinion","national","15-Jun"
"35","NYT","Fact-Checking Trump’s Tulsa Rally: Covid-19, Protesters and Biden","In his first rally in months, President Trump made multiple statements that were false, misleading or lacked evidence."," Linda Qiu and Reid J. Epstein","Politics","national","20-Jun"
"36","NYT","Who Will Face Mitch McConnell in November?","Several states are holding primaries, and virus cases are surging. This is your morning tip sheet."," Giovanni Russonello","Politics","national","23-Jun"
"37","NYT","Jacksonville, Trump’s New Convention Site, Will Now Require Face Masks","Republicans moved their national convention to Florida to avoid social distancing measures and masks, but officials in Jacksonville are mandating new precautions as coronavirus infections surge."," Patricia Mazzei","Politics","national","29-Jun"
"38","NYT",NA,NA,NA,NA,"national",NA
"39","NYT","Is Trump Trying to Spread Covid-19?","Does he start each day wondering what expert advice to ignore next?"," Thomas L. Friedman","Opinion","national","16-Jun"
"40","NYT","World War C","The Covid-19 story, told in lies."," Paul Krugman","Opinion","national","30-Jun"
"41","NYT","How Americans Feel About the Country Right Now: Anxious. Hopeful.","Exhausted and angry as they face a series of crises, many voters nevertheless remain optimistic about the future, a poll shows, viewing this moment as a chance for progress, one they can help shape."," Lisa Lerer, Elaina Plott and Lazaro Gamio","Politics","national","27-Jun"
"42","NYT","The Boy Who Cried Fake News","From inside the MAGA gates, Trump can’t see how the world has changed."," Jamelle Bouie","Opinion","national","23-Jun"
"43","NYT","A Plague of Willful Ignorance","Trump has empowered America’s anti-rational streak."," Paul Krugman","Opinion","national","22-Jun"
"44","NYT","Fauci, Citing ‘Disturbing Surge,’ Tells Congress the Virus Is Not Under Control","The testimony of the nation’s top infectious disease expert countered President Trump’s upbeat assessment, describing a “mixed bag” of some bright spots amid worrying trends and unknowns."," Sheryl Gay Stolberg and Noah Weiland","Politics","national","23-Jun"
"45","NYT","House Votes to Limit Health Costs as Drug Maker Adds Price Tag to Virus Treatment","A Democratic measure would cap insurance costs and grant the government the power to negotiate drug costs just as the coronavirus pandemic renews concerns over prices."," Sheryl Gay Stolberg and Noah Weiland","Politics","national","29-Jun"
"46","NYT","China Lashes Out at U.S.’s Action Against Mass Incarcerations","A new law aimed at punishing Chinese officials involved in mass internments of Uighurs and other minorities in Xinjiang came as John Bolton accused President Trump of supporting Beijing’s crackdown."," Steven Lee Myers","Asia Pacific","national","18-Jun"
"47","NYT","Trump Campaign Pushing for Four Debates With Biden","The Trump team wants one more debate than is typically held in the general election, and argued that they should start earlier because the coronavirus may prompt an increase in early voting."," Maggie Haberman","Politics","national","18-Jun"
"48","NYT","Coronavirus Attacks the Lungs. A Federal Agency Just Halted Funding for New Lung Treatments.","The shift, quietly disclosed on a government website, highlights how the Trump administration is favoring development of vaccines over treatments for the sickest patients."," Katie Thomas","Health","national","19-Jun"
"49","NYT",NA,NA,NA,NA,"national",NA
"50","NYT","Public Health Experts Reject President’s View of Fading Pandemic","Contrary to President Trump’s recent comments, specialists say, recent increases are real, and the virus is like a “forest fire” that will burn as long as there is fuel."," James Gorman","Health","national","21-Jun"
"51","NYT","Trump Supporters Must Waive Right to Sue Over Virus to Attend Rally","The sign-up page for the president’s upcoming rally in Tulsa, Okla., includes a disclaimer about the possibility of contracting the coronavirus."," Jenny Gross","Politics","national","11-Jun"
"52","NYT","America Didn’t Give Up on Covid-19. Republicans Did.","Partisanship has crippled our response."," Paul Krugman","Opinion","national","25-Jun"
"53","NYT","Trump’s False Attacks on Voting by Mail Stir Broad Concern","The president’s assertions about widespread fraud have little or no basis in fact but are resonating with his supporters and give him the option of raising doubts about the legitimacy of the outcome."," Maggie Haberman, Nick Corasaniti and Linda Qiu","Politics","national","24-Jun"
"54","NYT","Pence Misleadingly Blames Coronavirus Spikes on Rise in Testing","On a private call with governors, the vice president played down new outbreaks, stressing that some states were seeing what he called “intermittent” spikes. Experts have warned it’s not that simple."," Katie Rogers and Jonathan Martin","Politics","national","15-Jun"
"55","NYT","This Should Be Biden’s Bumper Sticker","He will need a simple, clear message to counter Trump’s “Make America Great Again” trope."," Thomas L. Friedman","Opinion","national","30-Jun"
"56","NYT","A Sheriff Who Defied Arizona’s Lockdown Is Infected With the Coronavirus","Sheriff Mark Lamb said that he believed he was infected at a campaign event on Saturday. He tested positive ahead of a planned meeting with President Trump at the White House this week."," Mihir Zaveri","U.S.","national","18-Jun"
"57","NYT","F.D.A. Revokes Emergency Approval of Malaria Drugs Promoted by Trump","The agency said that a review of some studies showed that the drugs’ potential benefits in treating Covid-19 did not outweigh the risks."," Katie Thomas","Health","national","15-Jun"
"58","NYT","Tulsa Braces for Trump Rally’s Health Threat as Virus Cases Rise","As the city reported its largest single-day increase in cases since March, its top health official said he was “absolutely” worried that the Saturday rally could become a “super spreader” event."," Annie Karni","Politics","national","17-Jun"
"59","NYT","Trump’s Trade Appeals to China Still Left Farmers Reeling","John Bolton, the former national security adviser, alleged that President Trump had pressed China to buy farm goods for political reasons. Those purchases have not made up for the trade-war damage."," Ana Swanson and Alan Rappeport","Economy","national","19-Jun"
"60","NYT",NA,NA,NA,NA,"national",NA
"61","NYT","With the Federal Health Megaphone Silent, States Struggle With a Shifting Pandemic","As state and local governments confront a new wave of coronavirus infections, President Trump is sending mixed messages and Washington’s public health bully pulpit has gone silent."," Sheryl Gay Stolberg, Noah Weiland, Sarah Mervosh and David E. Sanger","Politics","national","17-Jun"
"62","NYT","Trump Will Return to Campaign Trail With Rally in Tulsa","The president’s first rally since the coronavirus shuttered most of the country will take place on Juneteenth, which commemorates the end of slavery, in the city where one of the worst racist massacres in American history took place."," Annie Karni","Politics","national","10-Jun"
"63","NYT","How the Trump Campaign’s Plans for a Triumphant Rally Went Awry","Instead of offering President Trump a glide path back into the campaign season, Saturday’s rally in Tulsa has become yet another flash point for a candidate who has repeatedly displayed insensitivity about race."," Annie Karni, Maggie Haberman and Reid J. Epstein","Politics","national","18-Jun"
"64","NYT","Putin Says U.S. Is in ‘Deep Internal Crisis’","The Russian leader described an America poisoned by racism and violence and paralyzed by the refusal of President Trump’s opponents to accept the 2016 election results."," Andrew Higgins","Europe","national","14-Jun"
"65","NYT","Tribe in South Dakota Seeks Court Ruling Over Standoff on Blocking Virus","The Cheyenne River Sioux Tribe set up checkpoints to limit the spread of the coronavirus. After the state objected, the White House got involved. Now the tribe has asked a federal judge to intervene."," Mark Walker and Emily Cochrane","Politics","national","24-Jun"
"66","NYT","Trump Suspends Visas Allowing Hundreds of Thousands of Foreigners to Work in the U.S.","The move is fiercely opposed by business leaders, who say it will block their ability to recruit critically needed workers from countries overseas."," Michael D. Shear and Miriam Jordan","Politics","national","22-Jun"
"67","NYT","E.U. May Bar American Travelers as It Reopens Borders, Citing Failures on Virus","European Union officials are racing to agree on who can visit the bloc as of July 1 based on how countries of origin are faring with new coronavirus cases. Americans, so far, are excluded, according to draft lists seen by The New York Times."," Matina Stevis-Gridneff","Europe","national","23-Jun"
"68","NYT","As Coronavirus Infections Climb, Washington Moves On to Other Business","New cases are rising in almost half of the states. But in the capital, restless lawmakers and White House officials appear ready to focus on other subjects."," Sheryl Gay Stolberg and Noah Weiland","Politics","national","10-Jun"
"69","NYT","Trump’s ‘What Do You Have to Lose?’ Presidency Is Rallying Again","As an encapsulation of the president’s worldview, some former associates say, there is perhaps no beating the text of a campaign waiver: “guests voluntarily assume all risks.”"," Matt Flegenheimer","Politics","national","20-Jun"
"70","NYT","Judge Orders Roger Stone to Report to Prison Next Month","President Trump’s friend had sought a longer reprieve before he serves his sentence on seven felony convictions, citing the pandemic."," Sharon LaFraniere","Politics","national","26-Jun"
"71","NYT",NA,NA,NA,NA,"national",NA
"72","NYT","Graduating West Point Cadets Isolate for Two Weeks Ahead of Trump Speech","The address comes as the coronavirus spreads — and during a breakdown in relations between the president and the nation’s top military leaders."," Eric Schmitt and Michael D. Shear","Politics","national","12-Jun"
"73","NYT","The Week in Business: Confronting Racist Marketing","Facebook takes on political ads, and (some) small businesses catch a break in aid funding."," Charlotte Cowles","Business","national","21-Jun"
"74","NYT","Trump Will Give Convention Speech in Jacksonville, Capping a Dispute Over Safety","The move from Charlotte, N.C., where the Republican convention was originally planned, came after the president demanded to hold an event without social distancing rules."," Annie Karni","Politics","national","11-Jun"
"75","NYT","Trump and de Blasio: ‘Together, at the Wrong Time in History’","The chief executives of the country and its biggest city have found themselves diminished as leaders, lacking the trust of the people they serve."," Jeremy W. Peters","Politics","national","17-Jun"
"76","NYT","Could Trump Turn a Vaccine Into a Campaign Stunt?","In a desperate search for a boost, he could release a coronavirus vaccine that has not been shown to be safe and effective as an October surprise."," Ezekiel J. Emanuel and Paul A. Offit","Opinion","national","8-Jun"
"77","NYT","Onscreen, the Trump Campaign Ramps Up, and Down","In an anemic rally and a video interview with his son, the president created awkward images and relived a battle with an incline."," James Poniewozik","Television","national","22-Jun"
"78","NYT","U.S. Must Release Children From Family Detention Centers, Judge Rules","The order, which cited the severity of the coronavirus pandemic, applies to children held in the nation’s three family detention centers for more than 20 days."," Miriam Jordan","U.S.","national","26-Jun"
"79","NYT","How the Supreme Court Is Quietly Enabling Trump","Using emergency relief at the court, the administration has imposed controversial policies without a final determination of their legality."," Stephen I. Vladeck","Opinion","national","17-Jun"
"80","NYT","After Asking Americans to Sacrifice in Shutdown, Leaders Failed to Control Virus","As Covid-19 cases surge, it is clear many governors underestimated the coronavirus and rushed to reopen before their states were ready."," Sabrina Tavernise, Frances Robles and Louis Keene","U.S.","national","27-Jun"
"81","NYT","A Winner on Election Day in November? Don’t Count on It","The lack of race results in New York and Kentucky this week is a prelude for the presidential election, as officials strain to deal with a deluge of absentee ballots and a jumble of voting deadlines."," Shane Goldmacher","Politics","national","24-Jun"
"82","NYT",NA,NA,NA,NA,"national",NA
"83","NYT","We’re Feeding America, but We’re Sacrificing Ourselves","Poultry plants continue to run processing lines at a breakneck speed, making it impossible for workers to social distance."," Jerald Brooks and Lakesha Bailey","Opinion","national","15-Jun"
"84","NYT","G.O.P. Faces Risk From Push to Repeal Health Law During Pandemic","Republicans and the Trump administration continue to press to end the Affordable Care Act even as the virus leaves more Americans worried about affordable health coverage."," Sheryl Gay Stolberg","Politics","national","22-Jun"
"85","NYT","Trump Defends Police, but Says He’ll Sign Order Encouraging Better Practices","Joseph R. Biden Jr., his Democratic opponent, accused the president of dividing the country."," Peter Baker and Thomas Kaplan","Politics","national","11-Jun"
"86","NYT","Pandemic’s Cleaner Air Could Reshape What We Know About the Atmosphere","Coronavirus shutdowns have cut pollution, and that’s opened the door to a “giant, global environmental experiment” with potentially far-reaching consequences."," Coral Davenport","Climate","national","25-Jun"
"87","NYT","Federal Executions to Resume Amid a Pandemic and Protests","The administration is pressing ahead with the first federal execution in 17 years as demonstrators seek changes to the criminal justice system and lawyers have trouble visiting death-row clients."," Hailey Fuchs","Politics","national","30-Jun"
"88","NYT","Don’t Leave the W.H.O. Strengthen It.","The organization is still the world’s best hope for fighting pandemics."," The Editorial Board","Sunday Review","national","13-Jun"
"89","NYT","Obamacare Faces Unprecedented Test as Economy Sinks","The battles over the health law have played out during a decade of continuous economic growth. How it performs as a safety net now may help determine its future."," Abby Goodnough and Reed Abelson","Health","national","27-Jun"
"90","NYT","A Mad Scramble to Stock Millions of Malaria Pills, Likely for Nothing","Before the F.D.A. withdrew its waiver to stockpile the drugs as coronavirus treatments, the Trump administration had embarked on a headlong effort to import tens of millions of doses."," Sheryl Gay Stolberg","Politics","national","16-Jun"
"91","NYT","Wave of New Polling Suggests an Erosion of Trump’s Support","Joe Biden appears in a stronger position to oust an incumbent president than any challenger since Bill Clinton in the summer of 1992."," Nate Cohn","The Upshot","national","9-Jun"
"92","NYT","What the Pandemic Reveals About the Male Ego","Why are the rates of coronavirus deaths far lower in many female-led countries?"," Nicholas Kristof","Sunday Review","national","13-Jun"
"93","NYT",NA,NA,NA,NA,"national",NA
"94","NYT","Joe Biden Needs to Learn an Urgent Lesson From the 2004 Election","Bush survived the Iraq war. Trump has mishandled the coronavirus and the protests, but Americans care more about plans going forward."," Michael E. O’Hanlon","Opinion","national","14-Jun"
"95","NYT","Why Joe Biden Should Look to His Left","Progressive ideas don’t just turn out the vote. They win votes."," Sean McElwee","Opinion","national","11-Jun"
"96","NYT","On the Future, Americans Can Agree: It Doesn’t Look Good","Battered by a health crisis and boiling over with fury about racial injustice, many voters are mourning the past, worried about the present and fearful of what comes next."," Lisa Lerer and Dave Umhoefer","Politics","national","12-Jun"
"97","NYT","Trump Administration Moves to Solidify Restrictive Immigration Policies","The administration proposed a rule this week that would raise the standard of proof for migrants hoping to obtain asylum and is expected to propose additional visa restrictions."," Zolan Kanno-Youngs and Maggie Haberman","Politics","national","12-Jun"
"98","NYT","This Time, Hardly Anyone Followed Trump’s Lead on Virus Drugs","Prescriptions soared after the president began promoting two antimalarial drugs to treat coronavirus infections. Nothing of the sort happened when he later announced he was taking one of them."," Ellen Gabler and Michael H. Keller","U.S.","national","4-Jun"
"99","NYT","A Conspiracy Made in America May Have Been Spread by Russia","The Americans who pushed a conspiracy theory the night of the Iowa caucuses have migrated to coronavirus conspiracies on Twitter, with help from a very Russia-friendly account."," Nicole Perlroth","Technology","national","15-Jun"
"100","NYT","Trump, Citing Pandemic, Moves to Weaken Two Key Environmental Protections","Twin environmental actions set for Thursday underscored the president’s push to roll back regulations as the coronavirus crisis continues."," Coral Davenport and Lisa Friedman","Climate","national","4-Jun"
"101","NYT","Market Madness in the Pandemic","Why are investors rushing to buy junk?"," Paul Krugman","Opinion","national","15-Jun"
"102","NYT","Congress Steps Up Pressure as Trump Administration Evades Bailout Oversight","As independent watchdogs sound an oversight alarm, House Democrats demand to know who got $500 billion in small-business loans."," Emily Cochrane and Alan Rappeport","Politics","national","15-Jun"
"103","NYT","Farmers Get Billions in Virus Aid, and Democrats Are Wary","As the administration sends up to $16 billion in additional subsidies, critics are concerned that the funds could be used to ensure that the president maintains the backing of one of his key voting blocs."," Sharon LaFraniere","Politics","national","7-Jun"
"104","NYT",NA,NA,NA,NA,"national",NA
"105","NYT","Trump Says Jobs Report Made It a ‘Great Day’ for George Floyd, Stepping on Message","The president’s comments on Mr. Floyd, who died after a police officer knelt on his neck for nearly nine minutes, were immediately criticized by Joseph R. Biden Jr., his Democratic opponent."," Katie Rogers","Politics","national","5-Jun"
"106","NYT","I.M.F. Approves Critical Loan for Ukraine","President Volodymyr Zelensky of Ukraine won an endorsement for his anti-corruption policies with the approval of a $5 billion lending program from the International Monetary Fund."," Andrew E. Kramer","Europe","national","10-Jun"
"107","NYT","‘Pandemic Within a Pandemic’: Coronavirus and Police Brutality Roil Black Communities","The current civil unrest is deeply connected to the racial disparities exposed by the coronavirus crisis. “I’m just as likely to die from a cop as I am from Covid,” one organizer said."," Sheryl Gay Stolberg","Politics","national","7-Jun"
"108","NYT","‘They Let Us Down’: 5 Takeaways on the C.D.C.’s Coronavirus Response","Early mistakes in testing, aging data systems, clashes with President Trump and an overly cautious culture shook confidence in the nation’s premier public health agency."," Michael D. Shear","U.S.","national","3-Jun"
"109","NYT","Philonise Floyd Speaks Out: ‘I’m Here to Ask You to Make It Stop’","Congressional testimony and a new debate over Confederate names: This is your morning tip sheet."," Giovanni Russonello","Politics","national","11-Jun"
"110","NYT","How Times Reporters Handle Scientific Studies","When is research considered reliable? The answer isn’t always fully known. Here’s the approach our journalists take in evaluating studies and their results."," Emily Palmer","Times Insider","national","9-Jun"
"111","NYT","Philonise Floyd Speaks Out: ‘I’m Here to Ask You to Make It Stop’","Congressional testimony and a new debate over Confederate names: This is your morning tip sheet."," Giovanni Russonello","Politics","national","11-Jun"
"112","NYT","Trump Administration Faces Bipartisan Calls to End Citizenship Delays","Lawmakers from both parties are urging the Trump administration to conduct the oath remotely to make up for a pause in naturalization ceremonies during the health crisis."," Miriam Jordan","U.S.","national","17-Jun"
"113","NYT","Republicans Will Move Trump Convention Speech Out of Charlotte","After a stalemate with Democrats in North Carolina, Republicans said the president wouldn’t accept the party’s nomination at its convention in Charlotte, as planned, but would do so in another city."," Annie Karni","Politics","national","2-Jun"
"114","NYT","Trump ‘Remains Healthy’ After Taking Hydroxychloroquine, His Doctor Says","The president has hailed the drug as a cure for Covid-19, but his own health officials have questioned its effectiveness and safety. His doctor’s comments were part of a summary of the president’s health."," Katie Rogers and Lawrence K. Altman","Politics","national","3-Jun"
"115","NYT",NA,NA,NA,NA,"national",NA
"116","NYT","Despite Big Promises, U.S. Has Delivered Limited Aid in Global Virus Response","The State Department and U.S.A.I.D. have spent a fraction of the humanitarian assistance that Congress approved in March to help curb the coronavirus."," Lara Jakes","Politics","national","7-Jun"
"117","NYT","When Voters Discuss Coronavirus, They’re Really Talking About Trump","Even though most people don’t name the coronavirus as their top voting issue, President Trump’s response to the outbreak, and how it’s perceived, will probably swing the election."," Giovanni Russonello","Politics","national","29-May"
"118","NYT","Trump Announces That the U.S. Will Withdraw From the W.H.O.","President Trump said he would terminate the United States’ relationship with the World Health Organization, and repeated past charges that China had mishandled the coronavirus outbreak.",NA,"Politics","national","29-May"
"119","NYT","Fed Warns of ‘Extraordinarily Uncertain’ Path to Recovery","Assessing the pandemic’s impact, a Federal Reserve report sees strains on businesses and households and a fragile road back to steady growth and employment."," Jeanna Smialek","Economy","national","12-Jun"
"120","NYT","Trump Administration Selects Five Coronavirus Vaccine Candidates as Finalists","The White House is eager to project progress, but the public-private partnership it has created still faces scientific hurdles, internal tensions and questions from Congress."," Noah Weiland and David E. Sanger","Politics","national","3-Jun"
"121","NYT","Trump Postpones G7 Summit and Calls for Russia to Attend","The president said he also planned to invite South Korea, Australia and India to the meeting of world leaders in order to discuss China’s future."," Maggie Haberman","Politics","national","30-May"
"122","NYT","Biden’s Testing Strategy Sets Up a Clear Contrast With Trump on the Coronavirus","While the president has left testing responsibilities to the states, his Democratic rival would harness the power of the federal government to drive testing down to the workplace."," Sheryl Gay Stolberg","Politics","national","28-May"
"123","NYT","Don’t Bar Ex-Offenders From Coronavirus Aid Funds","The Trump administration unilaterally excluded those with criminal records from loan programs. The decision should be reversed."," Cyrus R. Vance Jr.","Opinion","national","2-Jun"
"124","NYT","Donald Trump Is Lost in Space","The president is incapable of summoning the better angels of our nature. He doesn’t even seem to know what they are."," Gail Collins and Bret Stephens","Opinion","national","2-Jun"
"125","NYT","Biden Calls Trump a ‘Fool’ for Not Wearing Mask in Coronavirus Crisis","Joseph Biden, in his first in-person interview since the virus curtailed his campaign, suggested the president was being “falsely masculine’’ by refusing to wear a mask."," Sydney Ember","Politics","national","26-May"
"126","NYT",NA,NA,NA,NA,"national",NA
"127","NYT","U.S. Limits Virus Aid for Masks, Gloves and Other Medical Gear Abroad","But the U.S. Agency for International Development will allow relief workers to buy personal protective equipment that is produced in the places it would be used."," Lara Jakes","Politics","national","9-Jun"
"128","NYT","Senate Confirms Inspector General to Oversee Virus Bailout Funds","Brian D. Miller, the White House lawyer tapped to oversee the Treasury Department’s $500 billion fund, has said he would not be influenced by political pressure."," Alan Rappeport","Politics","national","2-Jun"
"129","NYT","The Medical Mask Becomes a Protest Symbol","Commentators on the right have tried to paint the mask as a cowardly affectation. A flood of masked demonstrators tells a different story."," Amanda Hess","Arts","national","2-Jun"
"130","NYT","Trump Thinks He’s 2020’s ‘Law and Order’ Candidate. He’s Not.","Trump’s plan to campaign as the second coming of Richard Nixon shows the limits of historical analogy. It’s not 1968."," Jamelle Bouie","Opinion","national","2-Jun"
"131","NYT","It’s Trump vs. Twitter","President Trump is taking aim at social networks over treatment of his tweets. Twitter responded by putting a warning on another of his posts.",NA,"DealBook","national","29-May"
"132","NYT","ISIS Attacks Surge in Iraq Amid Debate on U.S. Troop Levels","The growing pressure on the United States to reduce its military presence in Iraq comes as strikes by the Islamic State are on the rise."," Alissa J. Rubin, Lara Jakes and Eric Schmitt","Middle East","national","10-Jun"
"133","NYT","Embattled at Home, Trump Finds Himself Isolated Abroad, Too","After years of snubs and American unilateralism, European allies have stopped looking to the president for leadership, and are turning their backs on him."," Steven Erlanger","Europe","national","2-Jun"
"134","NYT","Coronavirus to Shave Trillions From the Economy Over 10 Years","The Congressional Budget Office projects a nearly $16 trillion hit to the gross domestic product over the next decade, $7.9 trillion after adjusting for inflation."," Emily Cochrane","Politics","national","1-Jun"
"135","NYT","Rebuking China, Trump Curtails Ties to Hong Kong and Severs Them With W.H.O.","Critics say the actions would do little to blunt China’s influence and could ultimately hurt the U.S. and others."," Michael Crowley, Edward Wong and Ana Swanson","Politics","national","29-May"
"136","NYT","Gretchen Whitmer: The Coronavirus Is a Civil Rights Battle, Too","George Floyd’s death and the pandemic both reveal American infections. Why is the federal government undermining my fight against them?"," Gretchen Whitmer","Opinion","national","2-Jun"
"137","NYT",NA,NA,NA,NA,"national",NA
"138","NYT","Amid Pandemic and Upheaval, New Cyberthreats to the Presidential Election","Fear of the coronavirus is speeding up efforts to allow voting from home, but some of them pose security risks and may make it easier for Vladimir V. Putin, or others, to hack the vote."," David E. Sanger, Nicole Perlroth and Matthew Rosenberg","Politics","national","7-Jun"
