Title,Title_link,css-17ubb9w,css-myxawk,css-16nhkrn,Thumbnail,css-15w69y9,css-bc0f0m
Trump Faces Mounting Defections From a Once-Loyal Group: Older White Voters,https://www.nytimes.com/2020/06/28/us/politics/trump-approval-older-voters-coronavirus.html?searchResultPosition=10,June 28,Politics,No Democrat has won or broken even with voters over 65 in two decades. But seniors’ dismay about President Trump could change that.,https://static01.nyt.com/images/2020/06/29/us/politics/29seniors-poll1/merlin_162061284_69d20495-9cd8-466b-869b-7ddc7676fad7-thumbWide.jpg,By Alexander Burns and Katie Glueck,"PRINT EDITIONMany Older White Voters Reject the Trump Playbook|June 29, 2020, Page A16"
"‘We Will Be Doing More Testing,’ Fauci Says, Disputing Trump Claim",https://www.nytimes.com/video/us/politics/100000007205986/fauci-coronavirus-testing-trump.html?searchResultPosition=11,June 23,Politics,"At a House hearing, Dr. Anthony S. Fauci contradicted President Trump, saying that neither he nor any other officials he knew of had been asked by the president to slow coronavirus testing.",https://static01.nyt.com/images/2020/06/23/us/23virus-briefing-hearing/23virus-briefing-hearing-thumbWide.jpg,By Reuters,
Biden Takes Dominant Lead as Voters Reject Trump on Virus and Race,https://www.nytimes.com/2020/06/24/us/politics/trump-biden-poll-nyt-upshot-siena-college.html?searchResultPosition=12,June 24,Politics,"A New York Times/Siena College poll finds that Joseph R. Biden Jr. is ahead of the president by 14 points, leading among women and nonwhite voters and cutting into his support with white voters.",https://static01.nyt.com/images/2020/06/23/us/-promo-1592949468987/-promo-1592949468987-thumbWide.jpg,"By Alexander Burns, Jonathan Martin and Matt Stevens","PRINT EDITIONBiden Holds 14-Point Edge Over Trump in a New Poll|June 25, 2020, Page A1"
New Numbers Showing Coronavirus Spread Intrude on a White House in Denial,https://www.nytimes.com/2020/06/26/us/politics/trump-coronavirus.html?searchResultPosition=13,June 26,Politics,Both President Trump and Vice President Pence seem oblivious to the new chapter in the pandemic.,https://static01.nyt.com/images/2020/06/26/us/politics/26dc-virus-trump1/merlin_173960877_c78f28bc-0466-4e9a-8747-34c0e1766857-thumbWide.jpg,By Michael D. Shear and Maggie Haberman,"PRINT EDITIONVirus’s New Vigor Intrudes On Administration in Denial|June 27, 2020, Page A6"
Trump Rally Fizzles as Attendance Falls Short of Campaign’s Expectations,https://www.nytimes.com/2020/06/20/us/politics/tulsa-trump-rally.html?searchResultPosition=14,June 20,Politics,President Trump’s attempt to revive his re-election bid sputtered badly as he traveled to Tulsa for his first mass rally in months but found a small crowd and delivered a disjointed speech.,https://static01.nyt.com/images/2020/06/20/us/politics/20vid-tulsa-rallyvid1/20vid-tulsa-rallyvid1-thumbWide.jpg,"By Michael D. Shear, Maggie Haberman and Astead W. Herndon","PRINT EDITIONTrump’s Plan For a Big Rally Sputters Badly|June 21, 2020, Page A1"
,,,,,,,
Biden Says Trump ‘Waved the White Flag’,https://www.nytimes.com/2020/07/01/us/politics/biden-trump-coronavirus.html?searchResultPosition=15,July 1,Politics,The Democratic challenger goes on offense over the coronavirus: This is your morning tip sheet.,https://static01.nyt.com/images/2020/05/20/us/onpolitics-mask/onpolitics-mask-thumbWide.jpg,By Giovanni Russonello,
‘They Test and They Test’: Trump Brushes Off Rise in Covid-19 Cases,https://www.nytimes.com/video/us/politics/100000007202285/trump-tulsa-rally-coronavirus.html?searchResultPosition=16,June 20,Politics,President Trump claimed rising numbers of coronavirus cases as states reopen across the country were due to increased testing.,https://static01.nyt.com/images/2020/06/20/world/20trump-vid-cover-sub/20trump-vid-cover-sub-thumbWide.jpg,By The Associated Press,
"As the Coronavirus Spreads, Drug Pricing Legislation Remains Stalled",https://www.nytimes.com/2020/06/27/us/politics/coronavirus-drug-pricing-legislation.html?searchResultPosition=17,June 27,Politics,"For both parties, taking action to reduce the cost of prescription drugs was a banner policy issue before the coronavirus outbreak. Does it still have a chance?",https://static01.nyt.com/images/2020/06/26/us/politics/00dc-prescriptiondrugs1/00dc-prescriptiondrugs1-thumbWide.jpg,By Noah Weiland,"PRINT EDITIONAs the Coronavirus Spreads, Legislation on Drug Pricing Remains Stalled|June 28, 2020, Page A27"
Some Republicans Aren’t in Denial About the Virus. Trump Still Is.,https://www.nytimes.com/2020/06/23/opinion/coronavirus-testing-trump.html?searchResultPosition=18,June 23,Opinion,Downplaying the seriousness of the coronavirus has not stopped it from spreading in parts of the U.S.,https://static01.nyt.com/images/2020/06/24/opinion/24covid/merlin_173451099_adebfc1e-70f3-423b-a2e5-5ab7d1f251fe-thumbWide.jpg,By The Editorial Board,"PRINT EDITIONMr. Trump Can’t Wish Away the Virus|June 24, 2020, Page A22"
"Ahead of Trump Visit, Church Makes Unproven Claim of Virus-Killing Technology",https://www.nytimes.com/2020/06/23/us/politics/trump-arizona-church-covid.html?searchResultPosition=19,June 23,Politics,The president went to Phoenix to speak to a group of student supporters.,https://static01.nyt.com/images/2020/06/23/us/politics/23church-ions/23church-ions-thumbWide.jpg,By Jennifer Medina and Kenneth Chang,"PRINT EDITIONChurch Hosting Trump Event Makes Unproven Claim on Virus-Killing Technology|June 24, 2020, Page A20"
"Amid Pandemic and Protests, Trump Rally Fails to Fill Arena",https://www.nytimes.com/video/us/politics/100000007201990/trump-supporters-gather-in-tulsa-for-rally.html?searchResultPosition=20,June 20,Politics,President Trump’s first campaign event since the start of the coronavirus pandemic and the nationwide protests for racial justice drew a smaller crowd than the campaign had hyped.,https://static01.nyt.com/images/2020/06/20/us/politics/20vid-tulsa-rallyvid1/20vid-tulsa-rallyvid1-thumbWide.jpg,By Ainara Tiefenthäler,
Trump Defends China Trade Deal After Adviser Says It’s ‘Over’,https://www.nytimes.com/2020/06/23/business/economy/trump-navarro-china-trade-deal.html?searchResultPosition=21,June 23,Economy,"Peter Navarro, the White House trade adviser, quickly walked back his remarks, which caused markets to dive.",https://static01.nyt.com/images/2020/06/22/us/politics/22dc-chinatrade1/22dc-chinatrade1-thumbWide.jpg,By Ana Swanson,"PRINT EDITIONJune 23, 2020"
"Ahead of Trump Visit, Church Makes Unproven Claim of Virus-Killing Technology",https://www.nytimes.com/2020/06/23/us/politics/trump-arizona-church-covid.html?searchResultPosition=22,June 23,Politics,The president went to Phoenix to speak to a group of student supporters.,https://static01.nyt.com/images/2020/06/23/us/politics/23church-ions/23church-ions-thumbWide.jpg,By Jennifer Medina and Kenneth Chang,"PRINT EDITIONChurch Hosting Trump Event Makes Unproven Claim on Virus-Killing Technology|June 24, 2020, Page A20"
"Waiting for Trump: Hats, Flags, Little Fear of the Virus",https://www.nytimes.com/2020/06/20/us/politics/waiting-for-trump-hats-flags-little-fear-of-the-virus.html?searchResultPosition=23,June 20,Politics,"Supporters waiting to attend President Trump’s return to the campaign trail displayed their loyalty to him, though there were empty seats as the program started.",https://static01.nyt.com/images/2020/06/20/us/politics/20vid-tulsa-rallyvid1/20vid-tulsa-rallyvid1-thumbWide.jpg,By Katie Glueck and Astead W. Herndon,"PRINT EDITIONArdent Supporters Turn Out for Trump, Regardless of Virus Risk|June 21, 2020, Page A23"
"Trump Supporters Camp Out Ahead of Tulsa Rally, Despite Virus Risk",https://www.nytimes.com/video/us/politics/100000007199618/trump-tulsa-rally-supporters-coronavirus.html?searchResultPosition=24,June 18,Politics,"Supporters of President Trump lined up outside the BOK Center in Tulsa, Okla., two days ahead of his rally. The president and some of his supporters have shrugged off concerns that the event could spread the coronavirus.",https://static01.nyt.com/images/2020/06/18/world/18trump-vid-promo-sub/merlin_173683800_1c984279-f1e2-4154-b24d-02a7652b9900-thumbWide.jpg,By The Associated Press,
,,,,,,,
What to Watch For at Trump’s Tulsa Campaign Rally,https://www.nytimes.com/2020/06/20/us/politics/what-time-is-trump-rally.html?searchResultPosition=25,June 20,Politics,Will the thousands of Trump supporters wear masks? What time is the rally? How will President Trump talk about race? What protests will he face? Here’s what you need to know.,https://static01.nyt.com/images/2020/06/20/us/politics/20whattowatch-tulsa/20whattowatch-tulsa-thumbWide.jpg,"By Annie Karni, Astead W. Herndon and Katie Glueck","PRINT EDITIONJune 20, 2020"
Tulsa Officials Plead for Trump to Cancel Rally as Virus Spikes in Oklahoma,https://www.nytimes.com/2020/06/16/us/politics/trump-coronavirus-rally.html?searchResultPosition=26,June 16,Politics,"President Trump will hold his first campaign rally in months on Saturday in Oklahoma, where infections are rising, and officials there are pleading with him to cancel or hold it outdoors.",https://static01.nyt.com/images/2020/06/16/us/politics/16dc-virus-tulsa1/merlin_173012235_9c3ba86e-2359-4dc3-aa80-23777ed7151e-thumbWide.jpg,By Noah Weiland,"PRINT EDITIONFearing More Illness, Tulsa Asks Trump to Move Rally|June 17, 2020, Page A18"
"As the Virus Surges in South Florida, a Trump Resort Joins the Rush to Reopen",https://www.nytimes.com/2020/06/23/us/trump-doral-reopen-coronavirus.html?searchResultPosition=27,June 23,U.S.,"Miami-Dade County has been hit with about a quarter of the state’s cases. The Doral hotel and golf club there is taking steps to prevent infection, even as many visitors and some workers do not wear masks.",https://static01.nyt.com/images/2020/06/23/multimedia/23virus-trumporg-open-1/merlin_173849997_2f7b2190-0375-48ed-b45f-abcff4ddcffb-thumbWide.jpg,"By Eric Lipton, Neil Reisner, Steve Eder and Ben Protess","PRINT EDITIONAs the Virus Surges in Florida, a Trump Resort Joins the Rush to Reopen|June 24, 2020, Page A7"
The World Builds a Wall to Keep America Out,https://www.nytimes.com/2020/07/01/opinion/us-travel-ban-europe.html?searchResultPosition=28,July 1,Opinion,America has no monopoly on success.,https://static01.nyt.com/images/2020/07/02/opinion/02manjoo1/01manjoo1-thumbWide.jpg,By Farhad Manjoo,
"Federal Agency Halts Studies of Hydroxychloroquine, Drug Trump Promoted",https://www.nytimes.com/2020/06/20/health/hydroxychloroquine-coronavirus-trial.html?searchResultPosition=29,June 20,Health,"The National Institutes of Health decided to stop one trial because the drug was unlikely to benefit patients, and another because not enough people enrolled.",https://static01.nyt.com/images/2020/06/20/science/20virus-drug/merlin_173191026_480392c1-e26f-4edc-918d-ffd2bb29e81b-thumbWide.jpg,By Katie Thomas,"PRINT EDITIONN.I.H. Halts Clinical Trial Of Drug Hailed by Trump|June 21, 2020, Page A10"
Ask Not What President Trump Can Do for You,https://www.nytimes.com/2020/06/15/opinion/trump-rally-coronavirus.html?searchResultPosition=30,June 15,Opinion,His made-for-TV rallies can be matters of life and death.,https://static01.nyt.com/images/2020/06/15/opinion/15cottle1/merlin_169303896_5ba3ef99-e11a-4140-87c2-b2e798773752-thumbWide.jpg,By Michelle Cottle,"PRINT EDITIONAsk Not What Trump Can Do for You|June 16, 2020, Page A30"
Ask Not What President Trump Can Do for You,https://www.nytimes.com/2020/06/15/opinion/trump-rally-coronavirus.html?searchResultPosition=31,June 15,Opinion,His made-for-TV rallies can be matters of life and death.,https://static01.nyt.com/images/2020/06/15/opinion/15cottle1/merlin_169303896_5ba3ef99-e11a-4140-87c2-b2e798773752-thumbWide.jpg,By Michelle Cottle,"PRINT EDITIONAsk Not What Trump Can Do for You|June 16, 2020, Page A30"
"Fact-Checking Trump’s Tulsa Rally: Covid-19, Protesters and Biden",https://www.nytimes.com/2020/06/20/us/politics/trump-factcheck-tulsa-rally.html?searchResultPosition=32,June 20,Politics,"In his first rally in months, President Trump made multiple statements that were false, misleading or lacked evidence.",https://static01.nyt.com/images/2020/06/20/us/politics/20dc-factcheck-pix/20dc-factcheck-pix-thumbWide.jpg,By Linda Qiu and Reid J. Epstein,
Who Will Face Mitch McConnell in November?,https://www.nytimes.com/2020/06/23/us/politics/mitch-mcconnell-kentucky-primary.html?searchResultPosition=33,June 23,Politics,"Several states are holding primaries, and virus cases are surging. This is your morning tip sheet.",https://static01.nyt.com/images/2020/05/26/us/onpolitics-sticker-animated/onpolitics-sticker-animated-thumbWide-v3.jpg,By Giovanni Russonello,
"Jacksonville, Trump’s New Convention Site, Will Now Require Face Masks",https://www.nytimes.com/2020/06/29/us/politics/rnc-masks-convention.html?searchResultPosition=34,June 29,Politics,"Republicans moved their national convention to Florida to avoid social distancing measures and masks, but officials in Jacksonville are mandating new precautions as coronavirus infections surge.",https://static01.nyt.com/images/2020/06/29/us/politics/29jacksonville1/29jacksonville1-thumbWide.jpg,By Patricia Mazzei,"PRINT EDITIONJacksonville, New G.O.P. Convention Site, Now Requires Masks Indoors|June 30, 2020, Page A18"
,,,,,,,
Is Trump Trying to Spread Covid-19?,https://www.nytimes.com/2020/06/16/opinion/trump-coronavirus.html?searchResultPosition=35,June 16,Opinion,Does he start each day wondering what expert advice to ignore next?,https://static01.nyt.com/images/2020/06/16/opinion/16friedman1/merlin_173565756_7549f509-9663-44b8-bc18-dc8f5b912fca-thumbWide.jpg,By Thomas L. Friedman,"PRINT EDITIONJune 17, 2020, Page A24"
World War C,https://www.nytimes.com/2020/06/30/opinion/world-war-c.html?searchResultPosition=36,June 30,Opinion,"The Covid-19 story, told in lies.",https://static01.nyt.com/images/2020/06/30/opinion/30krugmanblog1/30krugmanblog1-thumbWide.jpg,By Paul Krugman,
How Americans Feel About the Country Right Now: Anxious. Hopeful.,https://www.nytimes.com/2020/06/27/us/politics/coronavirus-trump-mood-poll.html?searchResultPosition=37,June 27,Politics,"Exhausted and angry as they face a series of crises, many voters nevertheless remain optimistic about the future, a poll shows, viewing this moment as a chance for progress, one they can help shape.",https://static01.nyt.com/images/2020/06/26/us/politics/26mood-poll1/26mood-poll1-thumbWide.jpg,"By Lisa Lerer, Elaina Plott and Lazaro Gamio","PRINT EDITIONVoters’ Moods: Tired, Anxious And Optimistic|June 28, 2020, Page A1"
The Boy Who Cried Fake News,https://www.nytimes.com/2020/06/23/opinion/maga-trump-fake-news.html?searchResultPosition=38,June 23,Opinion,"From inside the MAGA gates, Trump can’t see how the world has changed.",https://static01.nyt.com/images/2020/06/23/opinion/23bouie1/23bouie1-thumbWide.jpg,By Jamelle Bouie,"PRINT EDITIONJune 24, 2020, Page A22"
A Plague of Willful Ignorance,https://www.nytimes.com/2020/06/22/opinion/coronavirus-trump.html?searchResultPosition=39,June 22,Opinion,Trump has empowered America’s anti-rational streak.,https://static01.nyt.com/images/2020/06/23/opinion/23krugman1print/merlin_173790231_2f1cd2e6-39bd-4618-b419-9431d6715807-thumbWide.jpg,By Paul Krugman,"PRINT EDITIONJune 23, 2020, Page A22"
"Fauci, Citing ‘Disturbing Surge,’ Tells Congress the Virus Is Not Under Control",https://www.nytimes.com/2020/06/23/us/politics/fauci-congress-coronavirus.html?searchResultPosition=40,June 23,Politics,"The testimony of the nation’s top infectious disease expert countered President Trump’s upbeat assessment, describing a “mixed bag” of some bright spots amid worrying trends and unknowns.",https://static01.nyt.com/images/2020/06/23/us/politics/23dc-virus-cong/23dc-virus-cong-thumbWide.jpg,By Sheryl Gay Stolberg and Noah Weiland,"PRINT EDITIONExperts Sketch Gloomy Picture Of Virus Spread|June 24, 2020, Page A1"
House Votes to Limit Health Costs as Drug Maker Adds Price Tag to Virus Treatment,https://www.nytimes.com/2020/06/29/us/politics/coronavirus-drug-prices.html?searchResultPosition=41,June 29,Politics,A Democratic measure would cap insurance costs and grant the government the power to negotiate drug costs just as the coronavirus pandemic renews concerns over prices.,https://static01.nyt.com/images/2020/07/19/us/politics/19dc-virus-aca1/19dc-virus-aca1-thumbWide.jpg,By Sheryl Gay Stolberg and Noah Weiland,"PRINT EDITIONHouse Votes to Expand Affordable Care Act and Cap Insurance Costs|June 30, 2020, Page A5"
China Lashes Out at U.S.’s Action Against Mass Incarcerations,https://www.nytimes.com/2020/06/18/world/asia/china-trump-pompeo-xinjiang-uighurs-bolton.html?searchResultPosition=42,June 18,Asia Pacific,A new law aimed at punishing Chinese officials involved in mass internments of Uighurs and other minorities in Xinjiang came as John Bolton accused President Trump of supporting Beijing’s crackdown.,https://static01.nyt.com/images/2020/06/18/world/18china-diplo-1/18china-diplo-1-thumbWide.jpg,By Steven Lee Myers,"PRINT EDITIONJune 19, 2020"
Trump Campaign Pushing for Four Debates With Biden,https://www.nytimes.com/2020/06/18/us/politics/trump-presidential-debates-2020.html?searchResultPosition=43,June 18,Politics,"The Trump team wants one more debate than is typically held in the general election, and argued that they should start earlier because the coronavirus may prompt an increase in early voting.",https://static01.nyt.com/images/2020/06/18/us/politics/18trump-debates/18trump-debates-thumbWide.jpg,By Maggie Haberman,"PRINT EDITIONJune 19, 2020"
Coronavirus Attacks the Lungs. A Federal Agency Just Halted Funding for New Lung Treatments.,https://www.nytimes.com/2020/06/19/health/coronavirus-lung-treatment-funding.html?searchResultPosition=44,June 19,Health,"The shift, quietly disclosed on a government website, highlights how the Trump administration is favoring development of vaccines over treatments for the sickest patients.",https://static01.nyt.com/images/2020/06/22/science/00JPVIRUS-BARDA1-print/00VIRUS-BARDA1-thumbWide.jpg,By Katie Thomas,"PRINT EDITIONWhite House Shifts Focus On Treatment For the Virus|June 22, 2020, Page B1"
,,,,,,,
Public Health Experts Reject President’s View of Fading Pandemic,https://www.nytimes.com/2020/06/21/health/coronavirus-pandemic-spread-trump.html?searchResultPosition=45,June 21,Health,"Contrary to President Trump’s recent comments, specialists say, recent increases are real, and the virus is like a “forest fire” that will burn as long as there is fuel.",https://static01.nyt.com/images/2020/06/21/science/21virus-covid/merlin_173632221_62c15d16-03b4-4fef-ab12-f474c98b6af6-thumbWide.jpg,By James Gorman,"PRINT EDITIONJune 22, 2020"
Trump Supporters Must Waive Right to Sue Over Virus to Attend Rally,https://www.nytimes.com/2020/06/11/us/politics/trump-rally-coronavirus.html?searchResultPosition=46,June 11,Politics,"The sign-up page for the president’s upcoming rally in Tulsa, Okla., includes a disclaimer about the possibility of contracting the coronavirus.",https://static01.nyt.com/images/2020/06/11/multimedia/11xp-trump-rally-image1/merlin_173451276_3fada293-fa99-4661-953b-d3ef57628ac7-thumbWide.jpg,By Jenny Gross,
America Didn’t Give Up on Covid-19. Republicans Did.,https://www.nytimes.com/2020/06/25/opinion/coronavirus-republicans.html?searchResultPosition=47,June 25,Opinion,Partisanship has crippled our response.,https://static01.nyt.com/images/2020/06/25/opinion/25krugmanWeb/merlin_172188639_d0396ec9-7759-4565-b5b0-2aded4bce2a8-thumbWide.jpg,By Paul Krugman,"PRINT EDITIONJune 26, 2020, Page A26"
Trump’s False Attacks on Voting by Mail Stir Broad Concern,https://www.nytimes.com/2020/06/24/us/politics/trump-vote-by-mail.html?searchResultPosition=48,June 24,Politics,The president’s assertions about widespread fraud have little or no basis in fact but are resonating with his supporters and give him the option of raising doubts about the legitimacy of the outcome.,https://static01.nyt.com/images/2020/06/24/us/politics/24dc-mailvoting-trump/merlin_173839290_7f731b73-3069-4c65-a6a8-7b364fcf90f7-thumbWide.jpg,"By Maggie Haberman, Nick Corasaniti and Linda Qiu","PRINT EDITIONUnable to Undercut Biden, Trump Trains Fire on Trust in Voting by Mail|June 25, 2020, Page A17"
Pence Misleadingly Blames Coronavirus Spikes on Rise in Testing,https://www.nytimes.com/2020/06/15/us/politics/pence-coronavirus-governors.html?searchResultPosition=49,June 15,Politics,"On a private call with governors, the vice president played down new outbreaks, stressing that some states were seeing what he called “intermittent” spikes. Experts have warned it’s not that simple.",https://static01.nyt.com/images/2020/06/15/us/politics/15dc-virus-pence/15dc-virus-pence-thumbWide.jpg,By Katie Rogers and Jonathan Martin,"PRINT EDITIONAs Cases Rise, Pence Promotes a Misleading Claim About Testing|June 16, 2020, Page A8"
This Should Be Biden’s Bumper Sticker,https://www.nytimes.com/2020/06/30/opinion/biden-trump-respect.html?searchResultPosition=50,June 30,Opinion,"He will need a simple, clear message to counter Trump’s “Make America Great Again” trope.",https://static01.nyt.com/images/2020/07/01/opinion/30friedman1/merlin_173237091_a3dd496d-db1f-40b9-b27a-979c2eb362d7-thumbWide.jpg,By Thomas L. Friedman,"PRINT EDITIONJuly 1, 2020, Page A24"
A Sheriff Who Defied Arizona’s Lockdown Is Infected With the Coronavirus,https://www.nytimes.com/2020/06/18/us/coronavirus-arizona-stay-at-home-mark-lamb.html?searchResultPosition=51,June 18,U.S.,Sheriff Mark Lamb said that he believed he was infected at a campaign event on Saturday. He tested positive ahead of a planned meeting with President Trump at the White House this week.,https://static01.nyt.com/images/2020/06/18/multimedia/18xp-virus-sheriff-pix1/18xp-virus-sheriff-pix1-thumbWide.jpg,By Mihir Zaveri,"PRINT EDITIONAfter Defying State Orders, G.O.P. Sheriff Tests Positive|June 19, 2020, Page A6"
F.D.A. Revokes Emergency Approval of Malaria Drugs Promoted by Trump,https://www.nytimes.com/2020/06/15/health/fda-hydroxychloroquine-malaria.html?searchResultPosition=52,June 15,Health,The agency said that a review of some studies showed that the drugs’ potential benefits in treating Covid-19 did not outweigh the risks.,https://static01.nyt.com/images/2020/06/15/science/15VIRUS-HCQ/15VIRUS-HCQ-thumbWide.jpg,By Katie Thomas,"PRINT EDITIONJune 16, 2020"
Tulsa Braces for Trump Rally’s Health Threat as Virus Cases Rise,https://www.nytimes.com/2020/06/17/us/politics/tulsa-rally-trump.html?searchResultPosition=53,June 17,Politics,"As the city reported its largest single-day increase in cases since March, its top health official said he was “absolutely” worried that the Saturday rally could become a “super spreader” event.",https://static01.nyt.com/images/2020/06/17/us/politics/17tulsa-rally1/merlin_171371253_8c952967-9319-4920-ac21-6e5036d5e2dc-thumbWide.jpg,By Annie Karni,"PRINT EDITIONTulsa Braces for Rally Amid Spike in Virus Cases|June 18, 2020, Page A13"
Trump’s Trade Appeals to China Still Left Farmers Reeling,https://www.nytimes.com/2020/06/19/business/economy/trump-china-trade-war-farmers.html?searchResultPosition=54,June 19,Economy,"John Bolton, the former national security adviser, alleged that President Trump had pressed China to buy farm goods for political reasons. Those purchases have not made up for the trade-war damage.",https://static01.nyt.com/images/2020/06/20/business/19DC-TrumpTrade1-print/merlin_173257059_151d9c7d-5a1d-4b81-bd72-64dd36c6e8a6-thumbWide.jpg,By Ana Swanson and Alan Rappeport,"PRINT EDITIONTrump’s Appeals to China Did Little for Farmers|June 20, 2020, Page B4"
,,,,,,,
"With the Federal Health Megaphone Silent, States Struggle With a Shifting Pandemic",https://www.nytimes.com/2020/06/17/us/politics/coronavirus-pandemic-federal-response.html?searchResultPosition=55,June 17,Politics,"As state and local governments confront a new wave of coronavirus infections, President Trump is sending mixed messages and Washington’s public health bully pulpit has gone silent.",https://static01.nyt.com/images/2020/06/17/us/politics/17dc-virus-washington-1/merlin_173467968_e991a21a-1c50-43c4-9cad-347c3e7ff10f-thumbWide.jpg,"By Sheryl Gay Stolberg, Noah Weiland, Sarah Mervosh and David E. Sanger","PRINT EDITIONState Cases Rise As Washington Stirs Confusion|June 18, 2020, Page A1"
Trump Will Return to Campaign Trail With Rally in Tulsa,https://www.nytimes.com/2020/06/10/us/politics/trump-rally-tulsa-oklahoma.html?searchResultPosition=56,June 10,Politics,"The president’s first rally since the coronavirus shuttered most of the country will take place on Juneteenth, which commemorates the end of slavery, in the city where one of the worst racist massacres in American history took place.",https://static01.nyt.com/images/2020/06/10/us/politics/10trump-rally1/10trump-rally1-thumbWide.jpg,By Annie Karni,"PRINT EDITIONJune 11, 2020"
