"","Publication","Title","Tagline","Author","Category","City","Date"
"12","MSNBC","New reporting shows virus surge is driven by states that were...","A look into how states whose governors took Trump’s advice and reopened early are now seeing their case numbers skyrocket, as Trump mounts a new pressure campaign to reopen schools","Deadline: White House ","Donald Trump","national"," 5:41 PM 7/10/2020"
"13","MSNBC","'There is no political advantage with absentee ballots Mr....","Kristen Welker is joined by Tom Ridge, Former Secretary of Homeland Security, to discuss the upcoming election, safe voting options, and President Trump's resistance to absentee ballots.",NA,"Elections","national","7/10/20 15:19"
"14","MSNBC","‘Stop:’ California AG on Trump administration’s international...","California Attorney General Xavier Becerra discusses the state’s decision to sue the Trump administration over policy that bans foreign students if classes are online.",NA,"Immigration, Equality","national","7/10/20 15:00"
"15","MSNBC","Fmr. Secretary of Defense Panetta: 'The most important crisis...","Fmr. Secretary of Defense Leon Panetta joins Andrea Mitchell, commending the military's moves to review the names of Army bases honoring Confederates. He also criticizes President Trump's response to the surging coronavirus pandemic, telling Andrea “the","Andrea Mitchell Reports ","Military, National Security, Health, Joe Biden","national"," 2:08 PM 7/10/2020"
"16","MSNBC","'Separated' author Jacob Soboroff: 'Things are arguably worse...","MSNBC's Jacob Soboroff, author of ""Separated: Inside an American Tragedy,"" joins Andrea Mitchell to discuss how the pandemic is exacerbating the crisis at detention centers, with the government unwilling to budge on advocates' pleas for releases as the","Andrea Mitchell Reports ","Immigration, Equality , Donald Trump","national"," 2:08 PM 7/10/2020"
"17","MSNBC","Venezuelan-American voter: 'We want to be a loud voice against...","NBC News Reporter Dasha Burns speaks to Venezuelan-American voters in Florida ahead of the President Trump's visit.",NA,NA,"national","7/10/20 13:24"
"18","MSNBC","International student on possible deportation: 'Why now?'","Jonas Bergmann, a Danish citizen and student at Augsburg University in Minneapolis, joins Ayman Mohyeldin after the Trump administration announced plans to remove students who aren't taking in-person classes in the fall. Bergmann says that he can only",NA,NA,"national","7/10/20 10:58"
"19","MSNBC","Is Biden channeling Bush II with 'restore decency' mantra?","Panelists Mark McKinnon, Cornell Belcher, Jim Messina and Susan Del Percio discuss the state of the 2020 campaign.","Morning Joe  ","Health, Elections, Economy, Joe Biden, Donald Trump, Best of last night","national"," 10:44 AM 7/10/2020"
"20","MSNBC","Only 33 percent approve of Trump's handling of virus","A majority disapproves of the president's handling of both the coronavirus and race relations, according to a new ABC News/Ipsos poll.","Morning Joe  ","Health, Economy, Donald Trump, Best of last night","national"," 8:55 AM 7/10/2020"
"21","MSNBC","An exclusive look at a COVID-19 floor in South Carolina","As coronavirus cases spike in South Carolina, NBC News has an exclusive look at a COVID-19 floor in Columbia, the state capital.","Morning Joe  ","Health, Economy, Donald Trump, Best of last night","national"," 7:52 AM 7/10/2020"
"22","MSNBC","Emergency rooms busting at the seams, says Miami doctor","Health authorities in Florida reported 120 new deaths from the new coronavirus on Thursday, the highest one-day jump yet for the state, according to AP reporting. Dr. Nicholas Namias joins Morning Joe to discuss the surge in coronavirus cases in Florida.","Morning Joe  ","Health, Economy, Donald Trump, Best of last night","national"," 7:41 AM 7/10/2020"
"23","MSNBC","States have been left alone on virus, says doctor","Internal Medicine Physician, Dr. Lipi Roy criticizes a lack of a national strategy on battling the coronavirus, what she would like to see from local government officials and why she says elected officials must be held accountable for how they handle the","Morning Joe  ","Health, Economy, Donald Trump, Best of last night","national"," 6:48 AM 7/10/2020"
"24","MSNBC","Buttigieg: Joe Biden has a plan for an economy 'in shambles'","Mayor Pete Buttigieg joins to discuss the Biden economic plan and how he believes it can help an economy flailing due to the coronavirus pandemic.","The 11th Hour with Brian Williams ","National Security, Health, Economy, Joe Biden, Donald Trump","national"," 12:00 AM 7/10/2020"
"25","MSNBC","Team Trump feels ‘grim’ about re-election as problems pile up","With the economy worsening, coronavirus cases increasing, and the Supreme Court dealing Trump another loss, Peter Baker reports that all is not well inside the Trump campaign.","The 11th Hour with Brian Williams ","Republicans, Democrats , Health, Economy, Global Health, White House, White House, Supreme Court, Donald Trump","national"," 11:39 PM 7/09/2020"
"26","MSNBC","Coronavirus follows Trump on tour; Next stop: New Hampshire","Rachel Maddow points out that everywhere that Donald Trump has held one of his recent rallies there has been a corresponding coronavirus crisis, so his planned trip to New Hampshire could be a threat to the state's marked progress against the virus.","The Rachel Maddow Show ","Health, New Hampshire, Donald Trump, Best of last night","national"," 9:52 PM 7/09/2020"
"27","MSNBC","How Trump’s Hurricane Maria response foreshadowed his...","Chris Hayes examines how the President's callous response to the coronovirus crisis was foreshadowed by his callous response to Hurricane Maria. “That was the canary in the coal mine. A wake up call that showed the true nature of this administration, and","All In with Chris Hayes ","Health, White House, Donald Trump, Best of last night, Puerto Rico","national"," 9:13 PM 7/09/2020"
"28","MSNBC","Sen. Warren explains Biden’s ‘Build Back Better’ economic plan","Sen. Warren: “The Vice President took the approach of saying, ‘We’re not just going to try to plaster over the cracks and put some props in where it’s falling apart.’ His approach was to say, ‘We’re going to build it back better.’""","All In with Chris Hayes ","Green, Elections, Economy, Economy and Jobs News, Videos & Top Stories, White House, Elizabeth Warren, Joe Biden, Donald Trump, Best of last night","national"," 8:43 PM 7/09/2020"
"29","MSNBC","Chuck Todd: President Trump is trying to live in two different...","Chuck Todd, back in the anchor chair for MTP Daily, says President Trump is trying to live in two different realities: “One where he enjoys absolute immunity as president, and another where he has all but defeated the virus.”","MTP Daily ","Supreme Court, Best of last night","national"," 5:10 PM 7/09/2020"
"30","MSNBC","Trump GOP caught in COVID hypocrisy: TX official tells voters...","As President Trump continues to lean into the idea that the pandemic is “over,” five top Republican Senators are no longer planning on attending the RNC in Florida. Meanwhile in Texas, government officials are planning on holding scheduled speeches",NA,"Republicans, Health, Global Health, Texas, Donald Trump, Best of last night","national","7/9/20 12:51"
"31","MSNBC","Pence falsely claims Arizona hospitalizations on decline","Phoenix Mayor Kate Gallego says her city is in need of more testing and medical personnel to handle the coronavirus crisis there. Reporter Vaughn Hillyard discusses.","Morning Joe  ","Health, Economy, Donald Trump, Best of last night","national"," 8:54 AM 7/09/2020"
"32","MSNBC","Dr. Gottlieb: U.S. is likely to see hospitalizations rise","Former FDA Commissioner Dr. Scott Gottlieb discusses the country's current infection rate, why the country is seeing more younger people get infected and why he believes hospitalizations will rise.","Morning Joe  ","Health, Economy, Donald Trump, Best of last night","national"," 7:55 AM 7/09/2020"
"33","MSNBC","State won't be 'threatened' to reopen schools, says Maryland gov.","Gov. Larry Hogan, R-Md., discusses the rate of infection in his state. Maryland's hospitalization rate due to virus just fell under 400 for first time since March. Gov. Hogan also discusses the idea of reopening schools in the fall and a potential 2024","Morning Joe  ","Health, Economy, Donald Trump, Best of last night","national"," 7:47 AM 7/09/2020"
"34","MSNBC","Congressman seeks to help independent restaurant owners","Rep. Max Rose, D-NY, discusses reopening the city's schools in the fall and new legislation he's co-sponsoring to help boost independent restaurant owners.","Morning Joe  ","Education, White House, Donald Trump, Best of last night","national"," 7:29 AM 7/09/2020"
"35","MSNBC","Trump pressures schools to reopen amid outbreak","Despite not having a long-term plan to safely reopen schools, the president is pushing for the country's schools to open, and he's threatening on Twitter to 'cut off funding' if they do not. The panel discusses.","Morning Joe  ","Education, White House, Donald Trump, Best of last night","national"," 6:32 AM 7/09/2020"
"36","MSNBC","Trump admin. pushes for schools to fully reopen this fall, but...","The White House said it would issue its own safety guidelines for reopening schools after President Trump bashed those issued by the CDC as “very tough and expensive.” Trump threatened to cut funding for schools that didn’t open completely and with in",NA,"Education","national","7/9/20 6:23"
"37","MSNBC","Doctor says national strategy still lacking on battling virus","Infectious diseases physician, Dr. Nahid Bhadelia, joins Morning Joe to discuss pressure from the president to reopen schools in the fall and a national shortage of protective gear as coronavirus cases surge again.","Morning Joe  ","Health, Economy, Donald Trump, Best of last night","national"," 6:18 AM 7/09/2020"
"38","MSNBC","After masks, is Trump now politicizing reopening schools?","First it was wearing face masks but is Trump now politicizing reopening schools? Jonathan Lemire joins to discuss.","The 11th Hour with Brian Williams ","Republicans, National Security, Health, Global Health, White House, White House, Donald Trump, Best of last night","national"," 11:34 PM 7/08/2020"
"39","MSNBC","Fmr. Education Secretary: Trump has ‘no ability to order...","Arne Duncan, the former Secretary of Education during the Obama admin., joins Lawrence O’Donnell to explain why President Trump is “bluffing” when he claims he will cut school funding if they do not reopen in the fall.","The Last Word with Lawrence O'Donnell ","Education, White House, Donald Trump, Best of last night","national"," 11:26 PM 7/08/2020"
"40","MSNBC","Mara Gay: Trump's COVID-19 failure is 'literally killing...","Mara Gay of The New York Times, a coronavirus survivor, reacts to Trump distancing himself from Dr. Fauci.","The 11th Hour with Brian Williams ","Republicans, National Security, Health, Global Health, White House, White House, Donald Trump, Best of last night","national"," 11:21 PM 7/08/2020"
"41","MSNBC","Trump demands schools reopen, but has no plan for doing it","The president said he might pull funding if states don't reopen schools and he's pushing the CDC to change its guidelines on the topic. But the White House is offering no guidance for how states should go about getting kids back in classrooms.","The 11th Hour with Brian Williams ","National Security, Health, Education, School Reform, Global Health, White House, White House, Donald Trump, Best of last night","national"," 11:14 PM 7/08/2020"
"42","MSNBC","GOP election lawyer explains how Trump’s war on mail-in voting...","Fmr. campaign lawyer for John McCain: “The right message is that every American ought to have a chance to vote safely … What they’re hearing out of the White House is, ‘It’s fraudulent, it’s dangerous, don’t do it.’ I think it is entirely possible that","All In with Chris Hayes ","Republicans, Elections, Voting Rights, Donald Trump, Best of last night","national"," 9:45 PM 7/08/2020"
"43","MSNBC","As Oklahoma struggles with coronavirus, Trump rally didn't help","Rachel Maddow shares the assessment by the Tulsa, Oklahoma health department director that Donald Trump's political rally 'likely contributed' to a surge in positive coronavirus cases.","The Rachel Maddow Show ","Republicans, Health, Donald Trump, Best of last night, Oklahoma","national"," 9:12 PM 7/08/2020"
"44","MSNBC","Hayes on Trump push to reopen schools: The last person we...","Chris Hayes: “There are a bunch of problems that have to be solved in order to open schools safely. But the president is incapable of solving them. He just wants them open, so that people can go back to work, and so things can be 'normal,' so he can get","All In with Chris Hayes ","Health, Education, Global Health, White House, Donald Trump, Best of last night","national"," 8:25 PM 7/08/2020"
"45","MSNBC","Michigan attorney general: Betsy DeVos ‘reverse Robin Hood’...","Michigan Attorney General Dana Nessel reacts to the Trump administration’s threat to “cut off” funding for schools that do not reopen in the fall from coronavirus lockdown. Nessel claims Education Secretary Betsy DeVos will “illegally” shift funds meant",NA,NA,"national","7/8/20 20:00"
"46","MSNBC","Ron Klain says the Trump administration pressuring schools to...","U.S. schools face pressure to balance safety against the growing pressure to reopen coming directly from the president","Deadline: White House ","Donald Trump","national"," 5:13 PM 7/08/2020"
"47","MSNBC","Trump threatens funding for schools if they don't reopen","""[Press Secretary] McEnany just said that while he has confidence in the advice of his medical experts, he decides whether or not he listens,"" NBC News Correspondent Carol Lee reports from the White House.","MTP Daily ","Education, Best of last night","national"," 5:13 PM 7/08/2020"
"48","MSNBC","Professor Anne Rimoin calls out need for more research on...","Ayman Mohyeldin is joined by Geoff Bennet and Professor of Epidemiology at UCLA Fielding School of Public Health, Anne Rimoin to discuss the unclear road toward reopening schools this fall.",NA,"School Reform, Education, White House, Donald Trump","national","7/8/20 15:53"
"49","MSNBC","Wallace: Someone with Trump's incompetence will not decide if...","On Trump politicizing the opening of schools in the fall, Nicolle says “I, for one, am not leaving him in charge of whether my kid goes back to school. It’s an unbelievable new turn for him.”",NA,NA,"national","7/8/20 15:15"
"50","MSNBC","Bolton: Trump 'doesn't pay much attention' to intelligence,...","Former National Security Advisor John Bolton joins Andrea Mitchell, reacting to the retirement of Lt. Col. Alexander Vindman's by saying his work “merited promotion,” and that his retirement is ""a loss for the country."" Bolton criticizes Trump's pandemic","Andrea Mitchell Reports ","National Security, Intelligence, Russia, Donald Trump","national"," 2:20 PM 7/08/2020"
"51","MSNBC","Florida 'breaking all the wrong records,' says congresswoman","Rep. Debbie Mucarsel-Powell, D-Fla., weighs in on coronavirus infection rates in her state and on the state's epicenter in Miami-Dade County, which has more than 50,000 confirmed coronavirus cases.","Morning Joe  ","Health, Economy, Donald Trump, Best of last night","national"," 9:58 AM 7/08/2020"
"52","MSNBC","Arizona ICE detention center employees test positive for virus","Nearly half the employees at an Arizona ICE detention center have tested positive for COVID-19, with a guard dying of the disease, according to new reporting from reporters Julia Ainsley and Jacob Soboroff.","Morning Joe  ","Health, Economy, Donald Trump, Best of last night","national"," 6:41 AM 7/08/2020"
"53","MSNBC","Infectious diseases experts cautions U.S. could see death rate...","Dr. Paul Sax, Clinical Director of Infectious Diseases at Brigham and Women's Hospital, discusses virus infections, why he says the U.S. death rate could rise and he also discusses improvements in treatment.","Morning Joe  ","Health, Economy, Donald Trump, Best of last night","national"," 6:13 AM 7/08/2020"
"54","MSNBC","U.S. now has more than three million virus cases","As the president discusses a lower mortality rate in the U.S. from coronavirus, Dr. Anthony Fauci says the country shouldn't take comfort in the mortality rate. Willie Geist has the latest details.","Morning Joe  ","Health, Economy, Donald Trump, Best of last night","national"," 6:07 AM 7/08/2020"
"55","MSNBC","Major corporations, companies linked to Trump associates got...","New Treasury Department data reveals that large corporations and companies linked to Trump associates received millions in loans for small businesses hurt by coronavirus. Stephanie Ruhle tells Lawrence O’Donnell that it’s up to Congress to decide whether","The Last Word with Lawrence O'Donnell ","Congress, Small Businesses, Donald Trump, Best of last night","national"," 11:27 PM 7/07/2020"
"56","MSNBC","U.S. hits 3,000,000 confirmed COVID-19 cases as Trump applauds...","The United States hit a grim milestone as officials confirmed the nation has had over three million coronavirus cases since the pandemic began as cases continue to surge in states across the country. Trump, meanwhile, still says his government's response","The 11th Hour with Brian Williams ","Republicans, National Security, Health, Global Health, White House, White House, Donald Trump, Best of last night","national"," 11:22 PM 7/07/2020"
"57","MSNBC","Harvard, Princeton roll out plans for fall amid Trump pressure...","UNC professor Dr. McMillan Cottom on Harvard’s plan for only 40% of students to return to campus in the fall: “When a school has all of the resources available to it, and has the ability to afford the luxury of putting student health and welfare first,","All In with Chris Hayes ","Health, Global Health, Donald Trump, Best of last night","national"," 9:04 PM 7/07/2020"
"58","MSNBC","Chris Hayes: Trump is objectively pro-virus","Chris Hayes: “If you take the steps that Donald Trump is taking, not just refusing to combat the virus, but actively taking steps that will make people sick, then you are objectively pro-virus.”","All In with Chris Hayes ","Health, Global Health, Europe, White House, Donald Trump, Best of last night","national"," 8:22 PM 7/07/2020"
"59","MSNBC","Dr. Leana Wen on the coronavirus surging: ‘There is no role...","Dr. Leana Wen, former Baltimore Health Commissioner, responds to Donald Trump’s insistence that schools will reopen in the fall despite rising coronavirus cases across the country","Deadline: White House ","Donald Trump","national"," 5:19 PM 7/07/2020"
"60","MSNBC","Jemele Hill: Trump's comments stoking racial tension are a way...","Jemele Hill, contributing writer for the Atlantic and host of the Spotify podcast “Jemele Hill is Unbothered,” joins Andrea Mitchell to discuss the president’s response to the debate on renaming sports teams, which comes as franchises across leagues face","Andrea Mitchell Reports ","Equality , Race, Sports","national"," 4:08 PM 7/07/2020"
"61","MSNBC","Trump administration gives formal notice of withdrawal from WHO","The United States officially notified the United Nations on Tuesday of its withdrawal from the World Health Organization, a White House official said.",NA,NA,"national","7/7/20 16:07"
"62","MSNBC","Virus is 'spreading rapidly' through Houston, says doctor","Dr. Marc Boom, CEO of Houston Methodist in Houston, discusses the dramatic rise in patients since Memorial Day and why he is urging the public to wear masks when outside.","Morning Joe  ","Health, Economy, Donald Trump, Best of last night","national"," 8:42 AM 7/07/2020"
"63","MSNBC","Desperate to distract from COVID-19, Trump sows division as a...","President Donald Trump used speeches over the July Fourth holiday weekend to attack “liberal Democrats” he portrayed as “the radical left, the Marxists, the anarchists, the agitators, the looters.” It’s a variation of the theme that he believes won him",NA,"Race","national","7/7/20 7:12"
"64","MSNBC","Miami mayor says gyms closing, indoor dining to halt","Mayor Francis Suarez, R-Miami, joins Morning Joe to discuss how his city is battling coronavirus infections, which includes closing gyms and indoor dining at restaurants.","Morning Joe  ","Health, Economy, Donald Trump, Best of last night","national"," 6:50 AM 7/07/2020"
"65","MSNBC","Trump amplifies his message of racial resentment","As the coronavirus continues to rage across the country, President Trump digs in on his campaign of racial resentment, including a series of Monday tweets on Bubba Wallace, the 'China Virus', city violence and professional sports teams. The panel","Morning Joe  ","Race, Equality , Elections, Donald Trump, Best of last night","national"," 6:34 AM 7/07/2020"
"66","MSNBC","Doctor advocates mask enforcement to control virus","Dr. Vin Gupta joins Morning Joe to discuss rising coronavirus infection rates around the U.S., why he's urging the country's restaurants to not have indoor dining and why he's calling on Govs. DeSantis and Abbott to deploy assets to help battle the virus.","Morning Joe  ","Health, Economy, Donald Trump, Best of last night","national"," 6:30 AM 7/07/2020"
"67","MSNBC","Coronavirus resistant to Trump tricks of obfuscation","Chris Hayes points out that all of the tricks and deceptions and manipulations that Donald Trump has used to get by and avoid accountability his whole life do not work on the coronavirus. The virus doesn't care.","All In with Chris Hayes ","Health, Donald Trump, Best of last night","national"," 11:35 PM 7/06/2020"
"68","MSNBC","WAPO: Trump admin. wants America to 'grow numb' from COVID-19...","The Washington Post reports that the Trump White House is hoping Americans will grow numb from the ever-rising COVID-19 death toll. Philip Rucker joins to discuss.","The 11th Hour with Brian Williams ","Republicans, National Security, Health, Global Health, White House, White House, Donald Trump, Best of last night","national"," 11:25 PM 7/06/2020"
"69","MSNBC","Trump tries using culture wars to distract from COVID-19 crisis","The president spent the July 4th holiday going after attacks on issues of race and culture in America while making false claims such as 99% of coronavirus cases are effectively harmless.","The 11th Hour with Brian Williams ","Republicans, Civil Liberties, Society, Race, Equality , National Security, Health, Global Health, Civil Rights, White House, White House, Donald Trump, Best of last night","national"," 11:08 PM 7/06/2020"
"70","MSNBC","Fmr. CIA Director: Trump’s distraction technique ‘taken right...","Former CIA Director John Brennan joins Lawrence O’Donnell to discuss Pres. Trump’s history of being “masterful at distracting attention” away from the issues as the administration is unable to address the COVID-19 outbreak.","The Last Word with Lawrence O'Donnell ","National Security, John Brennan, White House, Russia, Donald Trump, Best of last night","national"," 11:05 PM 7/06/2020"
"71","MSNBC","Trump family separation figures move to botched COVID-19 response","Rachel Maddow points out that HHS Secretary Alex Azar and Mike Pence press secretary Katie Miller had prominent roles in the Trump administration's family separation scandal and are now integral to the Trump administration's botched response to the","The Rachel Maddow Show ","Race, Equality , Health, Immigration, White House, Donald Trump, Best of last night","national"," 9:45 PM 7/06/2020"
"72","MSNBC","Mexico tightens border against U.S. coronavirus threat","Rachel Maddow looks at Mexico and other countries who see the skyrocketing coronavirus case numbers in the United States and are restricting travel by Americans to contain the spread of the virus.","The Rachel Maddow Show ","Health, Europe, Mexico, Donald Trump, Best of last night","national"," 9:26 PM 7/06/2020"
"73","MSNBC","Dr. John Torres fact checks Trump's false claim that 99% of...","NBC's Dr. John Torres joins Andrea Mitchell, fact checking President Trump's claim that 99% of coronavirus cases are ""harmless,"" saying that while the death rate may be around 1%, many more people are hospitalized with severe symptoms from the virus, a","Andrea Mitchell Reports ","Health, Donald Trump","national"," 1:58 PM 7/06/2020"
"74","MSNBC","Comedian D.L. Hughley on COVID-19 diagnosis, new book","Comedian D.L. Hughley discusses testing positive for the coronavirus after collapsing on stage during a performance. Hughley also discusses his new book 'Surrender, White People!'","Morning Joe  ","Society, Culture, Health, Economy, Donald Trump, Best of last night","national"," 10:53 AM 7/06/2020"
"75","MSNBC","Sen. Booker: Trump’s ‘rhetoric over this past weekend really...","Calls for police reform are continuing across the country and Senator Cory Booker is hoping that reform will include an end to qualified immunity. He joins Ayman Mohyeldin to explain and to share his thoughts on why the president's rhetoric on coronavirus","MSNBC Live with Stephanie Ruhle ",NA,"national"," 9:59 AM 7/06/2020"
"76","MSNBC","Trump Leans into Culture Wars","President Trump on Friday celebrated Independence Day by defiantly holding a rally at Mount Rushmore amid the pandemic and denounced protestors who have toppled U.S. monuments. The panel discusses.",NA,NA,"national","7/6/20 6:50"
"77","MSNBC","U.S. is headed in 'wrong direction' with virus, says doctor","Former FDA Commissioner Scott Gottlieb issued a stark warning about coronavirus infection over the weekend, saying the country has 'four major epicenters of spread.' Dr. Ashish Jha joins Morning Joe to discuss where the virus stands in the country.","Morning Joe  ","Health, Economy, Donald Trump, Best of last night","national"," 6:49 AM 7/06/2020"
"78","MSNBC","COVID-19 deaths reach a grim milestone in the U.S.","Deaths from COVID-19 have now surpassed 130,000 in the U.S. as the total cases reach 2.9 million.","Morning Joe  ","Health, Economy, Donald Trump, Best of last night","national"," 6:26 AM 7/06/2020"
"79","MSNBC","Kearns Goodwin: Your election has to be tied to the good of...","Pulitzer Prize-winning Presidential Historian and Author Doris Kearns Goodwin talks with NBC’s Kasie Hunt about how President Trump’s leadership during the coronavirus pandemic matches up with former presidents and the temperament needed for a successful",NA,"history","national","7/5/20 21:54"
"80","MSNBC","Trump campaign ‘encourages’ masks at New Hampshire rally","President Trump will provide masks at his next rally in Portsmouth, N.H. This is a change from his past rallies where he did not encourage wearing a mask amid the coronavirus pandemic.",NA,NA,"national","7/5/20 16:43"
"81","MSNBC","Florida hits 11,458 new coronavirus cases in daily record","Florida recently hit 11,458 new coronavirus cases in a daily record for the state. Florida Commissioner of Agriculture and Consumer Services Nikki Fried tells Tiffany Cross in for Joy Reid that under the leadership of Republican Governor Ron DeSantis and","AM Joy ","Health, Florida, Donald Trump, Women in Politics","national"," 2:52 PM 7/05/2020"
"82","MSNBC","Colorado Secretary of State: Voter fraud is 'very hard to pull...","Colorado Secretary of State Jena Griswold says we can’t allow Trump to use the pandemic as a tool for voter suppression.",NA,"Voting Rights, Voter Fraud, Donald Trump","national","7/5/20 11:28"
"83","MSNBC","Rep. Gwen Moore: 'Republicans are in denial about this virus’","Democratic Rep. Gwen Moore of Wisconsin, a member of the Congressional Black Caucus, says the GOP is risking Americans’ health and safety for “the economic outcomes Trump desires.”",NA,"Republicans, Race, Equality , Economic Inequality, Wisconsin, Donald Trump","national","7/5/20 11:27"
"84","MSNBC","Trump touts 4.8 million new jobs despite 50 million jobs lost","Donald Trump has touted 4.8 million new jobs being created, despite the nearly 50 million jobs which have been lost during the coronavirus pandemic. Bishop William Barber, president of Repairers of the Breach, joins Tiffany Cross in for Joy Reid to","AM Joy ","Income Inequality, Best of last night","national"," 3:56 PM 7/04/2020"
"85","MSNBC","Trump ‘allowed masks to become political’ former GOPer says","Donald Trump ‘allowed masks to become political’ renounced GOPer and former Republican congressman David Jolly tells Tiffany Cross in for Joy Reid.","AM Joy ","Republicans, Donald Trump","national"," 1:57 PM 7/04/2020"
"86","MSNBC","Epidemiologist Marc Lipsitch on the risks Americans face with...","As coronavirus cases continue to grow across the country, Harvard epidemiologist Marc Lipsitch discusses the risks of reopening and trajectory of the spread.","All In with Chris Hayes ","Health, Donald Trump","national"," 10:12 PM 7/03/2020"
"87","MSNBC","Cal Perry on the scene in South Dakota prior to the arrival of...","MSNBC Correspondent Cal Perry is on the ground in South Dakota amidst protests for President Trump's visit to mark the Fourth of July","All In with Chris Hayes ","Donald Trump","national"," 9:55 PM 7/03/2020"
"88","MSNBC","Native Americans denounce Trump’s Mt. Rushmore visit","Native American groups are calling out President Trump’s visit to Mt. Rushmore, saying it’s endangering lives in an ongoing pandemic.",NA,NA,"national","7/3/20 15:25"
"89","MSNBC","‘Outrageous’: Historian on Trump’s threat to veto defense bill...","Ahead of a Fourth of July holiday unlike any other, presidential historian Michael Beschloss joins Andrea Mitchell to discuss the effect of the pandemic on the American public and President Trump's leadership, and the president’s threat to veto the","Andrea Mitchell Reports ","Race, Equality , Donald Trump, history","national"," 1:19 PM 7/03/2020"
"90","MSNBC","Sen. Schumer: GOP wants as few people to vote as possible","Sen. Chuck Schumer, D-NY, discusses Russia's alleged bounty plot, why he says Trump is the weakest president ever on foreign policy, funding for mail-in voting ahead of the November elections and election security.","Morning Joe  ","Democrats , Health, Economy, Donald Trump, Best of last night","national"," 8:51 AM 7/03/2020"
"91","MSNBC","Sen. Schumer laments 'appalling' lack of leadership with virus","Sen. Chuck Schumer, D-NY, weighs in on the rising coronavirus infection rates in several states, and he laments the Trump administration's response to the growing crisis.","Morning Joe  ","Democrats , Health, Economy, Donald Trump, Best of last night","national"," 8:45 AM 7/03/2020"
"92","MSNBC","Chris Hayes: Trump’s COVID-19 failures make U.S. an object of...","The E.U. has banned travelers from the U.S. due to its skyrocketing coronavirus cases. The Trump administration has snubbed help from other countries and refused to cooperate with other nations looking for a vaccine. The COVID-19 epidemic in the U.S. isn",NA,"Health, Economy","national","7/3/20 7:52"
